"degree","grass"
"BACHELOR","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"JUNIOR COLLEGE","LEGAL"
"BACHELOR","LEGAL"
"GRADUATE","LEGAL"
"GRADUATE","LEGAL"
"GRADUATE","LEGAL"
"BACHELOR","LEGAL"
"HIGH SCHOOL","LEGAL"
"BACHELOR","LEGAL"
"GRADUATE","LEGAL"
"GRADUATE","LEGAL"
"HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"BACHELOR","LEGAL"
"HIGH SCHOOL","LEGAL"
"BACHELOR","LEGAL"
"GRADUATE","NOT LEGAL"
"BACHELOR","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"JUNIOR COLLEGE","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","LEGAL"
"GRADUATE","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"JUNIOR COLLEGE","LEGAL"
"JUNIOR COLLEGE","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"JUNIOR COLLEGE","LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"GRADUATE","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"LT HIGH SCHOOL","LEGAL"
"BACHELOR","NOT LEGAL"
"GRADUATE","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"GRADUATE","NOT LEGAL"
"LT HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","LEGAL"
"BACHELOR","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"BACHELOR","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"GRADUATE","LEGAL"
"LT HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"GRADUATE","LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"BACHELOR","LEGAL"
"HIGH SCHOOL","LEGAL"
"LT HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"GRADUATE","LEGAL"
"BACHELOR","NOT LEGAL"
"HIGH SCHOOL","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"JUNIOR COLLEGE","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"GRADUATE","NOT LEGAL"
"HIGH SCHOOL","LEGAL"
"HIGH SCHOOL","LEGAL"
