"","movie_title","title_year","budget","log_budget","gross","log_gross","country","language","color","duration","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_crime","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_film_noir","genre_game_show","genre_history","genre_horror","genre_music","genre_musical","genre_mystery","genre_news","genre_reality_tv","genre_romance","genre_sci_fi","genre_short","genre_sport","genre_thriller","genre_war","genre_western","plot_keywords","content_rating","imdb_score","num_critic_for_reviews","num_user_for_reviews","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","movie_facebook_likes","high_gross"
"1","Avatar ",2009,2.37e+08,19.2835706990994,760505847,20.449494357997,"USA","English","Color",178,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"avatar|future|marine|native|paraplegic","PG-13",7.9,723,3054,"James Cameron",0,"CCH Pounder",1000,"Joel David Moore",936,"Wes Studi",855,4834,0,33000,"High"
"2","Pirates of the Caribbean: At World's End ",2007,3e+08,19.5192930326205,309404152,19.5501589155349,"USA","English","Color",169,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"goddess|marriage ceremony|marriage proposal|pirate|singapore","PG-13",7.1,302,1238,"Gore Verbinski",563,"Johnny Depp",40000,"Orlando Bloom",5000,"Jack Davenport",1000,48350,0,0,"Low"
"3","The Dark Knight Rises ",2012,2.5e+08,19.3369714758265,448130642,19.920595359476,"USA","English","Color",164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"deception|imprisonment|lawlessness|police officer|terrorist plot","PG-13",8.5,813,2701,"Christopher Nolan",22000,"Tom Hardy",27000,"Christian Bale",23000,"Joseph Gordon-Levitt",23000,106759,0,164000,"Low"
"4","John Carter ",2012,263700000,19.3903226513235,73058679,18.1067734981387,"USA","English","Color",132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"alien|american civil war|male nipple|mars|princess","PG-13",6.6,462,738,"Andrew Stanton",475,"Daryl Sabara",640,"Samantha Morton",632,"Polly Walker",530,1873,1,24000,"Low"
"5","Spider-Man 3 ",2007,2.58e+08,19.3684701428859,336530303,19.6341987564863,"USA","English","Color",156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sandman|spider man|symbiote|venom|villain","PG-13",6.2,392,1902,"Sam Raimi",0,"J.K. Simmons",24000,"James Franco",11000,"Kirsten Dunst",4000,46055,0,0,"Low"
"6","Tangled ",2010,2.6e+08,19.3761921889798,200807262,19.1178561104665,"USA","English","Color",100,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"17th century|based on fairy tale|disney|flower|tower","PG",7.8,324,387,"Nathan Greno",15,"Brad Garrett",799,"Donna Murphy",553,"M.C. Gainey",284,2036,1,29000,"Low"
"7","Avengers: Age of Ultron ",2015,2.5e+08,19.3369714758265,458991599,19.9445424650251,"USA","English","Color",141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero","PG-13",7.5,635,1117,"Joss Whedon",0,"Chris Hemsworth",26000,"Robert Downey Jr.",21000,"Scarlett Johansson",19000,92000,4,118000,"Low"
"8","Batman v Superman: Dawn of Justice ",2016,2.5e+08,19.3369714758265,330249062,19.6153576610902,"USA","English","Color",183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"based on comic book|batman|sequel to a reboot|superhero|superman","PG-13",6.9,673,3018,"Zack Snyder",0,"Henry Cavill",15000,"Lauren Cohan",4000,"Alan D. Purwin",2000,24450,0,197000,"Low"
"9","Superman Returns ",2006,2.09e+08,19.1578448099291,200069408,19.1141749043079,"USA","English","Color",169,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"crystal|epic|lex luthor|lois lane|return to earth","PG-13",6.1,434,2367,"Bryan Singer",0,"Kevin Spacey",18000,"Marlon Brando",10000,"Frank Langella",903,29991,0,0,"Low"
"10","Pirates of the Caribbean: Dead Man's Chest ",2006,2.25e+08,19.2316109601687,423032628,19.8629598687876,"USA","English","Color",151,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"box office hit|giant squid|heart|liar's dice|monster","PG-13",7.3,313,1832,"Gore Verbinski",563,"Johnny Depp",40000,"Orlando Bloom",5000,"Jack Davenport",1000,48486,2,5000,"Low"
