"method","grade"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
